fuente,campo,tipo_de_referencia,unidad_formato,definicion_y_uso,descripcion_oficial,nota_oficial
incidentes,IncidentNumber,Texto,No aplica,Identificador de incidente; unión entre fuentes; mantener como texto.,LFB Incident Number,
incidentes,DateOfCall,Fecha,Día calendario,Fecha publicada de llamada/registro; base de DimFecha.,Date of 999 call,
incidentes,CalYear,Entero,Año,Año publicado; filtro común CalYear=2025 y control con DateOfCall.,Year of 999 call,
incidentes,TimeOfCall,Hora,hh:mm:ss publicado,"Hora detallada publicada; conservar en respaldo de origen para control, no emplear para calcular duraciones.",Time of 999 call,
incidentes,HourOfCall,Entero,Hora 0–23,Hora publicada 0–23; base de DimHora.,Hour of 999 call,
incidentes,IncidentGroup,Texto,No aplica,Grupo del incidente; DimTipoIncidente. La categoría False Alarm permite filtrar falsas alarmas en ambos hechos.,High level incident category,
incidentes,StopCodeDescription,Texto,No aplica,Clasificación detallada; DimTipoIncidente.,Detailed incident category,
incidentes,SpecialServiceType,Texto,No aplica,Tipo de servicio especial; DimTipoIncidente.,Further detail for special services incident categories,
incidentes,PropertyCategory,Texto,No aplica,Categoría del inmueble; DimTipoPropiedad.,High level property descriptor,
incidentes,PropertyType,Texto,No aplica,Tipo de inmueble; DimTipoPropiedad.,Detailed property descriptor,
incidentes,AddressQualifier,Texto,No aplica,"Calificador de ubicación; respaldo de origen, sin dimensión de dirección en el alcance.",Qualifies location of actual incident relevant to category above,
incidentes,Postcode_full,Texto,No aplica,"Código postal completo; respaldo de origen, no publicar ubicación individual.",Postcode,redacted for Dwellings
incidentes,Postcode_district,Texto,No aplica,Distrito postal; DimGeografia.,Postcode Districs,
incidentes,UPRN,Texto,No aplica,"Referencia única de inmueble; respaldo de origen, no usada en el modelo.",Unique Property Reference Number,redacted for Dwellings
incidentes,USRN,Texto,No aplica,"Referencia de calle; respaldo de origen, no usada en el modelo.",Unique Street Reference Number,
incidentes,IncGeo_BoroughCode,Texto,No aplica,Código de borough; DimGeografia.,Borough Code,
incidentes,IncGeo_BoroughName,Texto,No aplica,Nombre de borough; DimGeografia.,Borough Name,
incidentes,ProperCase,Texto,No aplica,"Nombre territorial con formato de mayúsculas/minúsculas; respaldo de origen, etiqueta redundante.",Borough Name,
incidentes,IncGeo_WardCode,Texto,No aplica,Código de ward; DimGeografia.,Ward Code,
incidentes,IncGeo_WardName,Texto,No aplica,Nombre de ward; DimGeografia.,Ward Name,
incidentes,IncGeo_WardNameNew,Texto,No aplica,"Nombre alternativo/actualizado de ward; respaldo de origen, no mezclar con la versión elegida.",New Ward Name,
incidentes,Easting_m,Número,Metros en sistema de coordenadas de origen,"Coordenada este en metros; respaldo de origen, no necesaria para agregación territorial.",Easting,redacted for Dwellings
incidentes,Northing_m,Número,Metros en sistema de coordenadas de origen,Coordenada norte en metros; respaldo de origen.,Northing,redacted for Dwellings
incidentes,Easting_rounded,Número,Metros en sistema de coordenadas de origen,Coordenada este redondeada; respaldo de origen.,Easting rounded up to nearest 50,
incidentes,Northing_rounded,Número,Metros en sistema de coordenadas de origen,Coordenada norte redondeada; respaldo de origen.,Northing rounded up to nearest 50,
incidentes,Latitude,Decimal,Grados,"Latitud; respaldo de origen, puede omitirse intencionalmente en viviendas.",Latitude,redacted for Dwellings
incidentes,Longitude,Decimal,Grados,"Longitud; respaldo de origen, puede omitirse intencionalmente en viviendas.",Longitude,redacted for Dwellings
incidentes,FRS,Texto,No aplica,Servicio de bomberos territorial publicado; respaldo de origen.,Fire Service ground,
incidentes,IncidentStationGround,Texto,No aplica,Área de estación del incidente; respaldo de origen. No es la estación que desplegó el recurso.,LFB Station ground,
incidentes,FirstPumpArriving_AttendanceTime,Entero,Segundos,"Tiempo publicado del primer arribo, segundos; FactIncidente.PrimerArriboSeg.",First Pump attendance time in seconds,
incidentes,FirstPumpArriving_DeployedFromStation,Texto,No aplica,"Estación de la primera bomba; respaldo de origen, no atribuir todos los incidentes a DimEstacion.",First Pump deployed from station,
incidentes,SecondPumpArriving_AttendanceTime,Entero,Segundos,"Tiempo publicado del segundo arribo, segundos; FactIncidente.SegundoArriboSeg.",Second Pump attendance time in seconds,
incidentes,SecondPumpArriving_DeployedFromStation,Texto,No aplica,Estación de la segunda bomba; respaldo de origen.,Second Pump deployed from station,
incidentes,NumStationsWithPumpsAttending,Entero,Conteo / orden,Número de estaciones con bombas asistentes; FactIncidente.NumEstaciones.,Number of stations with pumps in attendance,
incidentes,NumPumpsAttending,Entero,Conteo / orden,Número de bombas asistentes; FactIncidente.NumBombas.,Number of pumps in attendance,
incidentes,PumpCount,Texto,No aplica,"Campo presente sin definición suficiente en diccionario; respaldo de origen, excluido de medidas para no asumir equivalencia.",,
incidentes,PumpMinutesRounded,Entero,Minutos publicados con redondeo,"Tiempo de bombas en el incidente, redondeado a 60 minutos si es inferior a una hora según metadatos; FactIncidente.MinutosBombaRedondeados. No es tiempo exacto ni horas-persona.","Time spent at incident by pumps, rounded up to 60 if less than an hour",
incidentes,Notional Cost (£),Decimal,GBP; costo nocional,Costo nocional en GBP; FactIncidente.CostoNocionalGBP.,Time spent multiplied by notional annual cost of a pump,
incidentes,NumCalls,Entero,Conteo / orden,Número de llamadas; FactIncidente.NumLlamadas.,Number of calls received about the incident,
movilizaciones,IncidentNumber,Texto,No aplica,Identificador de incidente; unión entre fuentes; mantener como texto.,LFB Incident Number,
movilizaciones,CalYear,Entero,Año,Año publicado; filtro común CalYear=2025 y control con DateOfCall.,Year of 999 call,
movilizaciones,BoroughName,Texto,No aplica,"Nombre de borough observado en CSV, ausente del diccionario de movilizaciones; control contra incidentes, sin enriquecer huérfanos con geografía parcial.",,
movilizaciones,WardName,Texto,No aplica,"Nombre de ward observado en CSV, ausente del diccionario de movilizaciones; control contra incidentes.",,
movilizaciones,HourOfCall,Entero,Hora 0–23,Hora publicada 0–23; base de DimHora.,Hour of 999 call,
movilizaciones,ResourceMobilisationId,Entero largo,Identificador,Identificador publicado de movilización; PK solo tras resolver duplicados y conflictos.,LFB Resource Mobilisation ID,
movilizaciones,Resource_Code,Texto,No aplica,Código de recurso; atributo degenerado en FactMovilizacion.,LFB Resource Code,
movilizaciones,PerformanceReporting,Texto,No aplica,"Clasificación para reporte de desempeño; atributo de filtro, no suma.",First Pump arrived at incident,
movilizaciones,DateAndTimeMobilised,Fecha y hora,"dd/MM/yyyy HH:mm, GMT según metadatos",Fecha/hora de movilización; FactMovilizacion.FechaHoraMovilizada.,Date and time of mobilised (GMT),
movilizaciones,DateAndTimeMobile,Fecha y hora,"dd/MM/yyyy HH:mm, GMT según metadatos","Fecha/hora de salida; respaldo de origen para control, precisión de minutos.",Date and time of mobile (GMT),
movilizaciones,DateAndTimeArrived,Fecha y hora,"dd/MM/yyyy HH:mm, GMT según metadatos","Fecha/hora de llegada; respaldo de origen para control, precisión de minutos.",Date and time arrived (GMT),
movilizaciones,TurnoutTimeSeconds,Entero,Segundos,"Tiempo desde movilización hasta salida, en segundos; FactMovilizacion.SalidaSeg.",Turnout time in seconds,
movilizaciones,TravelTimeSeconds,Entero,Segundos,"Tiempo desde salida hasta llegada, en segundos; FactMovilizacion.ViajeSeg.",Travel time in seconds,
movilizaciones,AttendanceTimeSeconds,Entero,Segundos,"Tiempo desde movilización hasta llegada, en segundos; FactMovilizacion.LlegadaSeg. No es la duración de la intervención.",Attendance time in seconds,
movilizaciones,DateAndTimeLeft,Fecha y hora,"dd/MM/yyyy HH:mm, GMT según metadatos","Fecha/hora de abandono de escena; respaldo de origen, no se utiliza para duración total.",Date and time left the incident (GMT),
movilizaciones,DateAndTimeReturned,Fecha y hora,"dd/MM/yyyy HH:mm, GMT según metadatos","Fecha/hora de regreso; casi siempre ausente, respaldo de origen; no apta para medir disponibilidad.",Date and time returned to station (GMT),
movilizaciones,DeployedFromStation_Code,Texto,No aplica,Código de estación de despliegue; DimEstacion.,Deployed from station code,
movilizaciones,DeployedFromStation_Name,Texto,No aplica,Nombre de estación de despliegue; DimEstacion.,Deployed from station name,
movilizaciones,DeployedFromLocation,Texto,No aplica,Origen operativo Home Station / Other Station; DimOrigenDespliegue.,Deployed from location,
movilizaciones,PumpOrder,Entero,Conteo / orden,"Orden publicado como Pump order; el diccionario no precisa despacho o llegada. Respaldo de origen, fuera del modelo analítico; no se usa para identificar primer arribo.",Pump order,
movilizaciones,PlusCode_Code,Texto,No aplica,"Código del tipo de movilización; respaldo de origen. Constante Initial en 2025, fuera del modelo analítico.",Code of Plus Code,
movilizaciones,PlusCode_Description,Texto,No aplica,"Descripción del tipo de movilización; respaldo de origen. Constante Initial Mobilisation en 2025, fuera del modelo analítico.",Description of Plus Code,
movilizaciones,DelayCodeId,Texto,No aplica,Código de demora; DimMotivoDemora.,Delay code ID,
movilizaciones,DelayCode_Description,Texto,No aplica,Descripción de demora; DimMotivoDemora.,Delay code description,
